estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Rheinstadion	Düsseldorf	(31)	30 June	West Germany	Sweden	4	2
Waldstadion	Frankfurt	(32)	30 June	Poland	Yugoslavia	2	1
Waldstadion	Frankfurt	(35)	3 July	Poland	West Germany	0	1
Rheinstadion	Düsseldorf	(36)	3 July	Sweden	Yugoslavia	2	1
Olympiastadion	Munich	(37)	6 July	Brazil	Poland	0	1
Olympiastadion	Munich	(38)	7 July	Netherlands	West Germany	1	2
Estadio Monumental	Buenos Aires	(2)	2 June	Argentina	Hungary	2	1
Estadio José María Minella	Mar del Plata	(3)	2 June	Italy	France	2	1
Estadio Monumental	Buenos Aires	(9)	6 June	Argentina	France	2	1
Estadio José María Minella	Mar del Plata	(10)	6 June	Italy	Hungary	3	1
Estadio Monumental	Buenos Aires	(17)	10 June	Argentina	Italy	0	1
Estadio José María Minella	Mar del Plata	(18)	10 June	France	Hungary	3	1
Estadio Monumental	Buenos Aires	(1)	1 June	West Germany	Poland	0	0
Estadio Gigante de Arroyito	Rosario	(4)	2 June	Tunisia	Mexico	3	1
Estadio Gigante de Arroyito	Rosario	(11)	6 June	Poland	Tunisia	1	0
Estadio Chateau Carreras	Córdoba	(12)	6 June	West Germany	Mexico	6	0
Estadio Gigante de Arroyito	Rosario	(19)	10 June	Poland	Mexico	3	1
Estadio Olímpico Chateau Carreras	Córdoba	(20)	10 June	West Germany	Tunisia	0	0
Estadio José Amalfitani	Buenos Aires	(5)	3 June	Austria	Spain	2	1
Estadio José Maria Minella	Mar del Plata	(6)	3 June	Brazil	Sweden	1	1
Estadio José Amalfitani	Buenos Aires	(13)	7 June	Austria	Sweden	1	0
Estadio José Maria Minella	Mar del Plata	(14)	7 June	Brazil	Spain	0	0
Estadio José Amalfitani	Buenos Aires	(21)	11 June	Spain	Sweden	1	0
Estadio José Maria Minella	Mar del Plata	(22)	11 June	Brazil	Austria	1	0
Estadio Chateau Carreras	Córdoba	(7)	3 June	Peru	Scotland	3	1
Estadio Ciudad de Mendoza	Mendoza	(8)	3 June	Netherlands	Iran	3	0
Estadio Chateau Carreras	Córdoba	(15)	7 June	Scotland	Iran	1	1
Estadio Ciudad de Mendoza	Mendoza	(16)	7 June	Netherlands	Peru	0	0
Estadio Chateau Carreras	Córdoba	(23)	11 June	Peru	Iran	4	1
Estadio Ciudad de Mendoza	Mendoza	(24)	11 June	Scotland	Netherlands	3	2
Estadio Monumental	Buenos Aires	(25)	14 June	Italy	West Germany	0	0
Estadio Chateau Carreras	Córdoba	(27)	14 June	Austria	Netherlands	1	5
Estadio Monumental	Buenos Aires	(29)	18 June	Italy	Austria	1	0
Estadio Chateau Carreras	Córdoba	(31)	18 June	Netherlands	West Germany	2	2
Estadio Monumental	Buenos Aires	(33)	21 June	Italy	Netherlands	1	2
Estadio Chateau Carreras	Córdoba	(35)	21 June	Austria	West Germany	3	2
Estadio Gigante de Arroyito	Rosario	(26)	14 June	Argentina	Poland	2	0
Estadio Ciudad de Mendoza	Mendoza	(28)	14 June	Peru	Brazil	0	3
Estadio Gigante de Arroyito	Rosario	(30)	18 June	Argentina	Brazil	0	0
Estadio Ciudad de Mendoza	Mendoza	(32)	18 June	Peru	Poland	0	1
Estadio Gigante de Arroyito	Rosario	(34)	21 June	Argentina	Peru	6	0
Estadio Ciudad de Mendoza	Mendoza	(36)	21 June	Poland	Brazil	1	3
Estadio Monumental	Buenos Aires	(37)	24 June	Brazil	Italy	2	1
Estadio Monumental	Buenos Aires	(38)	25 June	Netherlands	Argentina	1	3
Balaídos	Vigo	(2)	14 June	Italy	Poland	0	0
Estadio de Riazor	A Coruña	(4)	15 June	Peru	Cameroon	0	0
Balaídos	Vigo	(13)	18 June	Italy	Peru	1	1
Estadio de Riazor	A Coruña	(16)	19 June	Poland	Cameroon	0	0
Estadio de Riazor	A Coruña	(25)	22 June	Poland	Peru	5	1
Balaídos	Vigo	(28)	23 June	Italy	Cameroon	1	1
El Molinón	Gijón	(7)	16 June	West Germany	Algeria	1	2
Estadio Carlos Tartiere	Oviedo	(10)	17 June	Chile	Austria	0	1
El Molinón	Gijón	(19)	20 June	West Germany	Chile	4	1
Estadio Carlos Tartiere	Oviedo	(22)	21 June	Algeria	Austria	0	2
Estadio Carlos Tartiere	Oviedo	(31)	24 June	Algeria	Chile	3	2
El Molinón	Gijón	(34)	25 June	West Germany	Austria	1	0
Camp Nou	Barcelona	(1)	13 June	Argentina	Belgium	0	1
Nuevo Estadio	Elche	(5)	15 June	Hungary	El Salvador	10	1
Estadio José Rico Pérez	Alicante	(14)	18 June	Argentina	Hungary	4	1
